short,long
La Peña,LA PEÑA
La Vega,LA VEGA
Lenguazaque,LENGUAZAQUE
Macheta,MACHETA
Madrid,MADRID
Manta,MANTA
Medina,MEDINA
Mosquera,MOSQUERA
Nariño,NARIÑO
Nemocón,NEMOCÓN
Nilo,NILO
Nimaima,NIMAIMA
Nocaima,NOCAIMA
Venecia,VENECIA
Pacho,PACHO
Paime,PAIME
Pandi,PANDI
Paratebueno,PARATEBUENO
Pasca,PASCA
Puerto Salgar,PUERTO SALGAR
Pulí,PULÍ
Quebradanegra,QUEBRADANEGRA
Quetame,QUETAME
Quipile,QUIPILE
Apulo,APULO
Ricaurte,RICAURTE
San Antonio del Tequendama,SAN ANTONIO DEL TEQUENDAMA
San Bernardo,SAN BERNARDO
San Cayetano,SAN CAYETANO
San Francisco,SAN FRANCISCO
San Juan de Río Seco,SAN JUAN DE RÍO SECO
Sasaima,SASAIMA
Sesquilé,SESQUILÉ
Sibaté,SIBATÉ
Silvania,SILVANIA
Simijaca,SIMIJACA
Soacha,SOACHA
Sopó,SOPÓ
Subachoque,SUBACHOQUE
Suesca,SUESCA
Supatá,SUPATÁ
Susa,SUSA
Sutatausa,SUTATAUSA
Tabio,TABIO
Tausa,TAUSA
Tena,TENA
Tenjo,TENJO
Tibacuy,TIBACUY
Tibirita,TIBIRITA
Tocaima,TOCAIMA
Tocancipá,TOCANCIPÁ
Topaipí,TOPAIPÍ
Ubalá,UBALÁ
Ubaque,UBAQUE
Villa de San Diego de Ubate,VILLA DE SAN DIEGO DE UBATE
Une,UNE
Útica,ÚTICA
Vergara,VERGARA
Vianí,VIANÍ
Villagómez,VILLAGÓMEZ
Villapinzón,VILLAPINZÓN
Villeta,VILLETA
Viotá,VIOTÁ
Yacopí,YACOPÍ
Zipacón,ZIPACÓN
Zipaquirá,ZIPAQUIRÁ
Quibdó,QUIBDÓ
Acandí,ACANDÍ
Alto Baudó,ALTO BAUDÓ
Atrato,ATRATO
Bagadó,BAGADÓ
Bahía Solano,BAHÍA SOLANO
Bajo Baudó,BAJO BAUDÓ
Bojaya,BOJAYA
El Cantón del San Pablo,EL CANTÓN DEL SAN PABLO
Carmen del Darien,CARMEN DEL DARIEN
Cértegui,CÉRTEGUI
Condoto,CONDOTO
El Carmen de Atrato,EL CARMEN DE ATRATO
El Litoral del San Juan,EL LITORAL DEL SAN JUAN
Istmina,ISTMINA
Juradó,JURADÓ
Lloró,LLORÓ
Medio Atrato,MEDIO ATRATO
Medio Baudó,MEDIO BAUDÓ
Medio San Juan,MEDIO SAN JUAN
Nóvita,NÓVITA
Nuquí,NUQUÍ
Río Iró,RÍO IRÓ
Río Quito,RÍO QUITO
Riosucio,RIOSUCIO
San José del Palmar,SAN JOSÉ DEL PALMAR
Sipí,SIPÍ
Tadó,TADÓ
Unguía,UNGUÍA
Unión Panamericana,UNIÓN PANAMERICANA
Neiva,NEIVA
Acevedo,ACEVEDO
Agrado,AGRADO
Aipe,AIPE
Algeciras,ALGECIRAS
Altamira,ALTAMIRA
Baraya,BARAYA
Campoalegre,CAMPOALEGRE
Colombia,COLOMBIA
Elías,ELÍAS
Garzón,GARZÓN
Gigante,GIGANTE
Guadalupe,GUADALUPE
Hobo,HOBO
Iquira,IQUIRA
Isnos,ISNOS
La Argentina,LA ARGENTINA
La Plata,LA PLATA
Nátaga,NÁTAGA
Oporapa,OPORAPA
Paicol,PAICOL
Palermo,PALERMO
Palestina,PALESTINA
Pital,PITAL
Pitalito,PITALITO
Rivera,RIVERA
Saladoblanco,SALADOBLANCO
San Agustín,SAN AGUSTÍN
Santa María,SANTA MARÍA
Suaza,SUAZA
Tarqui,TARQUI
Tesalia,TESALIA
Tello,TELLO
Teruel,TERUEL
Timaná,TIMANÁ
Villavieja,VILLAVIEJA
Yaguará,YAGUARÁ
Riohacha,RIOHACHA
Albania,ALBANIA
Barrancas,BARRANCAS
Dibulla,DIBULLA
Distracción,DISTRACCIÓN
El Molino,EL MOLINO
Fonseca,FONSECA
Hatonuevo,HATONUEVO
La Jagua del Pilar,LA JAGUA DEL PILAR
Maicao,MAICAO
Manaure,MANAURE
San Juan del Cesar,SAN JUAN DEL CESAR
Uribia,URIBIA
Urumita,URUMITA
Villanueva,VILLANUEVA
Santa Marta,SANTA MARTA
Algarrobo,ALGARROBO
Aracataca,ARACATACA
Ariguaní,ARIGUANÍ
Cerro San Antonio,CERRO SAN ANTONIO
Chibolo,CHIBOLO
Ciénaga,CIÉNAGA
Concordia,CONCORDIA
El Banco,EL BANCO
El Piñon,EL PIÑON
El Retén,EL RETÉN
Fundación,FUNDACIÓN
Guamal,GUAMAL
Nueva Granada,NUEVA GRANADA
Pedraza,PEDRAZA
Pijiño del Carmen,PIJIÑO DEL CARMEN
Pivijay,PIVIJAY
Plato,PLATO
